time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s26	s27	nnamed: 5
0.0	0.5	0.5	0.8	0.8	0.8	0.8	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.2	1.2	1.5	1.5	1.2	1.2	1.2	1.2	1.5	1.5	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.2	1.5	1.8	2.0	2.2	2.5	1.0	1.0	
2.4	0.8563649999999999	0.8838	0.854434	0.8635370000000001	0.8951530000000001	0.9369860000000001	0.896202	0.968859	1.07089	0.964173	0.954099	0.964173	0.920509	1.03151	1.1151799999999998	1.1498	1.1657	1.15701	1.02316	1.18216	1.25593	1.199	1.22593	1.23189	1.23062	1.23252	1.26929	1.31556	1.3294	1.24088	1.27421	1.2574100000000001	1.28235	1.28728	1.31188	1.2574100000000001	1.28235	1.2541	1.28094	1.24525	1.27681	1.24525	1.27681	1.24525	1.27681	1.29108	1.29354	1.29519	1.29684	1.29054	1.24698	1.24698	
4.8	0.944739	0.967043	0.943233	0.951507	0.970083	1.00729	0.9725389999999999	1.01704	1.1046	0.9986299999999999	1.0112	0.9986299999999999	0.981561	1.07087	1.1375	1.16515	1.1743	1.1680700000000002	1.06729	1.18395	1.2284899999999999	1.19839	1.21496	1.2212	1.21546	1.2219200000000001	1.2392100000000001	1.25053	1.25684	1.22522	1.24122	1.2397200000000002	1.24879	1.23916	1.2500799999999999	1.2397200000000002	1.24879	1.23557	1.24674	1.2271299999999998	1.2423600000000001	1.2271299999999998	1.2423600000000001	1.2271299999999998	1.2423600000000001	1.2434399999999999	1.24346	1.24347	1.24348	1.2460799999999999	1.23719	1.23719	
7.2	1.00665	1.0227600000000001	1.00557	1.01158	1.02437	1.05166	1.02621	1.05664	1.12132	1.04073	1.0536299999999998	1.04073	1.0316	1.09648	1.14523	1.16535	1.17156	1.16703	1.09477	1.17858	1.20971	1.18908	1.20041	1.20541	1.2004700000000001	1.20604	1.21767	1.22272	1.22691	1.2078200000000001	1.2186700000000001	1.21882	1.22453	1.2156	1.22301	1.21882	1.22453	1.2152100000000001	1.22265	1.20889	1.21927	1.20889	1.21927	1.20889	1.21927	1.2197200000000001	1.2197200000000001	1.2197200000000001	1.2197200000000001	1.22165	1.2172	1.2172	
9.6	1.05051	1.06206	1.04974	1.05405	1.06311	1.08277	1.06444	1.08596	1.1327	1.0740399999999999	1.0840100000000001	1.0740399999999999	1.0681	1.11471	1.1499	1.1644	1.1688100000000001	1.16554	1.11365	1.17388	1.1961700000000002	1.18144	1.1895	1.19319	1.1895	1.19366	1.20194	1.20519	1.20817	1.19484	1.20258	1.20287	1.20688	1.2001600000000001	1.20546	1.20287	1.20688	1.20012	1.2054200000000002	1.19555	1.20297	1.19555	1.20297	1.19555	1.20297	1.2033	1.2033	1.2033	1.2033	1.2046700000000001	1.20167	1.20167	
12.0	1.08184	1.09012	1.0812899999999999	1.08438	1.09085	1.10499	1.09182	1.10719	1.1408200000000002	1.09854	1.1058299999999999	1.09854	1.0944	1.1278700000000002	1.15317	1.1636	1.16676	1.16441	1.12713	1.17041	1.18642	1.17585	1.1816200000000001	1.1843	1.1816200000000001	1.1846299999999998	1.19058	1.19287	1.195	1.18547	1.19102	1.19126	1.19413	1.18925	1.19306	1.19126	1.19413	1.18925	1.19306	1.18597	1.1913	1.18597	1.1913	1.18597	1.1913	1.19154	1.19154	1.19154	1.19154	1.19252	1.19039	1.19039	
14.4	1.1043	1.11024	1.10391	1.10612	1.11076	1.1209200000000001	1.1114600000000001	1.12248	1.14665	1.11625	1.12152	1.11625	1.1133	1.13734	1.15552	1.1630200000000002	1.16529	1.1636	1.1368200000000002	1.16791	1.17941	1.17182	1.1759700000000002	1.1778899999999999	1.1759700000000002	1.17813	1.1824	1.18405	1.1855799999999999	1.1787299999999998	1.18272	1.1829	1.18496	1.18145	1.18418	1.1829	1.18496	1.18145	1.18418	1.17909	1.18292	1.17909	1.18292	1.17909	1.18292	1.18309	1.18309	1.18309	1.18309	1.1838	1.1822700000000002	1.1822700000000002	
16.8	1.12042	1.12469	1.12014	1.12173	1.12506	1.13236	1.1255600000000001	1.1334799999999998	1.1508399999999999	1.129	1.13279	1.129	1.1268799999999999	1.14415	1.1572200000000001	1.1626	1.1642299999999999	1.1630200000000002	1.14378	1.16611	1.17438	1.1689200000000002	1.1719	1.17329	1.1719	1.17346	1.1765299999999999	1.17771	1.1788100000000001	1.1738899999999999	1.17676	1.17688	1.1783700000000001	1.17584	1.17781	1.17688	1.1783700000000001	1.17584	1.17781	1.17415	1.1769	1.17415	1.1769	1.17415	1.1769	1.1770200000000002	1.1770200000000002	1.1770200000000002	1.1770200000000002	1.17753	1.1764299999999999	1.1764299999999999	
19.2	1.1320000000000001	1.13507	1.1318	1.13294	1.13534	1.14058	1.1356899999999999	1.1413799999999998	1.15386	1.13816	1.14088	1.13816	1.1366399999999999	1.14905	1.1584299999999998	1.1623	1.16347	1.1626	1.14878	1.16482	1.17076	1.1668399999999999	1.16898	1.16998	1.16898	1.1701	1.17231	1.17316	1.17395	1.17041	1.1724700000000001	1.17256	1.17363	1.17181	1.1732200000000002	1.17256	1.17363	1.17181	1.1732200000000002	1.1706	1.1725700000000001	1.1706	1.1725700000000001	1.1706	1.1725700000000001	1.17266	1.17266	1.17266	1.17266	1.17303	1.17224	1.17224	
21.6	1.14032	1.14252	1.1401700000000001	1.14099	1.1427100000000001	1.14648	1.14297	1.14706	1.15602	1.1447399999999999	1.1467	1.1447399999999999	1.14365	1.15256	1.15931	1.16209	1.16293	1.1623	1.1523700000000001	1.1639	1.1681700000000002	1.16535	1.16689	1.1676	1.16689	1.16769	1.16927	1.16988	1.17045	1.16791	1.16939	1.16946	1.17022	1.1689200000000002	1.16993	1.16946	1.17022	1.1689200000000002	1.16993	1.16805	1.16946	1.16805	1.16946	1.16805	1.16946	1.16953	1.16953	1.16953	1.16953	1.1697899999999999	1.16923	1.16923	
